Run,DATA_QUALITY,LOT_ID,MachineRecipeID,PortID,ProcessOpNum,ProductGrpID,ProductID,RouteID,Technology,WAFER_ID,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_15,Sensor_16,Sensor_17,Sensor_18,Sensor_19,Sensor_20,Sensor_21,Sensor_22,Sensor_23,Sensor_24,Sensor_25,Sensor_26,Sensor_27,Sensor_28,Sensor_29,Sensor_30,Sensor_31,Sensor_32,Sensor_33
62302,65.71,A,A,A,A,A,A,A,A,4,149.0,3.9,308.0,119.0,124.0,125.0,120.0,-71.0,3.0,0.0,7.0,5.81,0.0,9.49,968.0,111.0,16.06,127.0,35.0,4.04,201.0,2.47,4853.0,1.0,1.0,8.0,5.0,1305.0,3108.0,7.0,3300.0,81.0,1890.0
62302,65.71,A,A,A,A,A,A,A,A,4,151.0,4.24,308.0,119.0,124.0,125.0,120.0,-71.0,4.0,15.4,7.04,7.39,1.58,9.51,968.0,111.0,16.06,87.0,40.0,7.0,201.0,2.47,4853.0,536.0,15.0,6.0,4.0,1304.0,3106.0,9.0,0.0,81.0,1890.0
62302,65.71,A,A,A,A,A,A,A,A,4,153.0,4.32,307.0,118.0,124.0,126.0,121.0,-71.0,3.0,3.2,7.0,6.61,0.8,9.49,968.0,111.0,16.06,86.0,40.0,7.05,197.0,2.47,4853.0,1246.0,0.0,6.0,4.0,1304.0,3106.0,9.0,3100.0,81.0,1890.0
62302,65.71,A,A,A,A,A,A,A,A,4,155.0,4.38,307.0,118.0,124.0,126.0,121.0,-71.0,3.0,2.9,7.0,6.56,0.75,9.49,968.0,111.0,16.06,86.0,40.0,7.05,197.0,2.47,4853.0,1250.0,0.0,8.0,5.0,1305.0,3106.0,9.0,5400.0,81.0,1890.0
62302,65.71,A,A,A,A,A,A,A,A,4,163.0,4.63,307.0,118.0,124.0,127.0,122.0,-72.0,3.0,1.8,7.0,6.39,0.58,9.49,968.0,111.0,16.06,106.0,49.0,9.15,199.0,2.47,4853.0,2790.0,32.0,4.0,4.0,1304.0,3104.0,11.0,1700.0,81.0,1890.0
62302,65.71,A,A,A,A,A,A,A,A,4,159.0,4.85,329.0,118.0,125.0,128.0,124.0,-73.0,3.0,0.9,7.0,6.33,0.52,9.49,968.0,111.0,16.06,106.0,49.0,9.14,200.0,2.47,4853.0,2802.0,6.0,12.0,5.0,1305.0,3111.0,11.0,9400.0,81.0,1890.0
62302,65.71,A,A,A,A,A,A,A,A,4,41.0,4.87,343.0,118.0,125.0,128.0,124.0,-73.0,3.0,0.8,7.0,6.32,0.51,9.49,968.0,111.0,16.03,106.0,49.0,9.14,201.0,2.47,4853.0,2802.0,8.0,12.0,5.0,1306.0,3111.0,11.0,11600.0,81.0,1890.0
62302,65.71,A,A,A,A,A,A,A,A,4,11.0,4.87,352.0,118.0,125.0,128.0,124.0,-73.0,3.0,0.6,7.0,6.32,0.51,9.49,968.0,111.0,16.06,106.0,49.0,9.15,200.0,2.47,4853.0,2802.0,7.0,11.0,3.0,1304.0,3111.0,11.0,14000.0,81.0,1890.0
62302,65.71,A,A,A,A,A,A,A,A,4,11.0,4.88,356.0,118.0,125.0,128.0,124.0,-73.0,3.0,0.4,7.0,6.31,0.5,9.49,968.0,111.0,16.03,106.0,49.0,9.14,200.0,2.47,4853.0,2802.0,6.0,12.0,3.0,1304.0,3111.0,11.0,16300.0,81.0,1890.0
62302,65.71,A,A,A,A,A,A,A,A,4,11.0,4.88,360.0,118.0,125.0,130.0,126.0,-74.0,3.0,0.3,7.0,6.32,0.51,9.49,968.0,111.0,16.06,106.0,49.0,9.15,200.0,2.47,4853.0,2802.0,5.0,12.0,3.0,1305.0,3110.0,11.0,19700.0,81.0,1890.0
